,year,genre
720,2007,r&b
721,2007,hiphop
721,2007,pop
722,2006,pop
723,2007,hiphop
723,2007,pop
724,2006,hiphop
724,2006,pop
725,2006,pop
726,2008,hiphop
726,2008,pop
726,2008,r&b
727,2007,hiphop
727,2007,pop
727,2007,r&b
728,2007,hiphop
729,2006,set()
730,2007,rock
730,2007,metal
731,2007,hiphop
731,2007,pop
731,2007,r&b
732,2007,hiphop
732,2007,pop
732,2007,r&b
733,2007,hiphop
733,2007,pop
734,2007,rock
734,2007,metal
735,2006,pop
736,2007,hiphop
736,2007,pop
737,2007,hiphop
737,2007,pop
737,2007,r&b
738,2007,rock
738,2007,metal
739,2006,pop
740,2007,rock
741,2006,pop
742,2006,pop
742,2006,r&b
743,2007,rock
743,2007,metal
744,2006,rock
745,2007,hiphop
745,2007,pop
745,2007,dance/electronic
746,2007,pop
746,2007,r&b
747,2007,pop
748,2007,pop
748,2007,r&b
749,2016,pop
749,2016,rock
749,2016,metal
750,2013,hiphop
750,2013,pop
751,2007,hiphop
751,2007,pop
751,2007,r&b
752,2007,rock
753,2007,hiphop
753,2007,pop
753,2007,r&b
754,2006,hiphop
754,2006,pop
755,2006,pop
755,2006,r&b
756,2006,hiphop
756,2006,pop
756,2006,r&b
757,2007,hiphop
757,2007,pop
757,2007,r&b
758,2005,rock
758,2005,metal
759,2007,rock
760,2006,pop
761,2007,rock
762,2006,r&b
763,2007,hiphop
763,2007,pop
763,2007,r&b
764,2006,pop
764,2006,r&b
765,2007,pop
765,2007,latin
766,2017,dance/electronic
767,2005,pop
767,2005,dance/electronic
768,2007,pop
769,2007,rock
770,2007,pop
770,2007,rock
771,2019,pop
771,2019,rock
771,2019,metal
772,2006,hiphop
772,2006,pop
773,2007,rock
773,2007,metal
774,2007,hiphop
774,2007,pop
774,2007,r&b
775,2007,rock
776,2007,pop
777,2006,hiphop
777,2006,pop
777,2006,r&b
778,2006,hiphop
778,2006,pop
779,2006,pop
780,2006,pop
781,2006,pop
782,2007,hiphop
782,2007,pop
782,2007,r&b
783,2006,pop
784,2007,pop
785,2005,pop
785,2005,country
786,2006,dance/electronic
787,2007,hiphop
787,2007,pop
787,2007,r&b
788,2007,hiphop
788,2007,pop
789,2007,pop
790,2007,hiphop
790,2007,pop
791,2006,pop
792,2007,rock
792,2007,pop
793,2007,set()
794,2007,set()
795,2007,pop
796,2007,pop
797,2007,hiphop
797,2007,pop
797,2007,r&b
797,2007,dance/electronic
798,2006,rock
799,2006,hiphop
799,2006,pop
800,2008,hiphop
800,2008,pop
801,2008,pop
802,2008,hiphop
802,2008,pop
802,2008,r&b
803,2007,pop
803,2007,r&b
804,2007,hiphop
804,2007,pop
804,2007,r&b
805,2008,pop
805,2008,r&b
806,2007,hiphop
806,2007,pop
806,2007,r&b
807,2008,pop
807,2008,r&b
808,2008,hiphop
808,2008,pop
808,2008,r&b
809,2007,hiphop
809,2007,pop
810,2007,pop
810,2007,dance/electronic
811,2008,hiphop
811,2008,pop
811,2008,r&b
812,2011,hiphop
813,2007,pop
814,2008,hiphop
814,2008,pop
815,2008,pop
816,2007,hiphop
817,2009,pop
818,2008,pop
819,2008,hiphop
819,2008,pop
819,2008,r&b
820,2007,hiphop
820,2007,pop
821,2008,pop
822,2008,pop
823,2008,pop
823,2008,dance/electronic
824,2010,hiphop
824,2010,pop
824,2010,r&b
825,2008,hiphop
825,2008,pop
826,2008,pop
827,2008,pop
827,2008,r&b
